"MEDV","CRIM","INDUS","CHAS","NOX","RM","AGE","DIS","RAD","TAX","PTRATIO","LANDMARK"
424,0.12269,6.91,"no",0.448,6.069,40,5.7209,3,233,17.9,"No Landmark"
570,0.03502,4.95,"no",0.411,6.861,27.9,5.1167,4,245,19.2,"Shopping Mall"
144,18.0846,18.1,"no",0.679,6.434,100,1.8347,24,666,20.2,"No Landmark"
322,6.44405,18.1,"no",0.584,6.425,74.8,2.2004,24,666,20.2,"No Landmark"
288,0.25387,6.91,"no",0.448,5.399,95.3,5.87,3,233,17.9,"No Landmark"
356,0.31827,9.9,"no",0.544,5.914,83.2,3.9986,4,304,18.4,"No Landmark"
444,0.1029,4.93,"no",0.428,6.358,52.9,7.0355,6,300,16.6,"No Landmark"
438,3.47428,18.1,"yes",0.718,8.78,82.9,1.9047,24,666,20.2,"No Landmark"
334,4.87141,18.1,"no",0.614,6.484,93.6,2.3053,24,666,20.2,"No Landmark"
236,2.77974,19.58,"no",0.871,4.903,97.8,1.3459,5,403,14.7,"No Landmark"
484,0.08826,10.81,"no",0.413,6.417,6.6,5.2873,4,305,19.2,"No Landmark"
100,38.3518,18.1,"no",0.693,5.453,100,1.4896,24,666,20.2,"No Landmark"
112,25.0461,18.1,"no",0.693,5.987,100,1.5888,24,666,20.2,"No Landmark"
388,0.26363,8.56,"no",0.52,6.229,91.2,2.5451,5,384,20.9,"No Landmark"
372,0.22876,8.56,"no",0.52,6.405,85.4,2.7147,5,384,20.9,"No Landmark"
592,0.06047,2.46,"no",0.488,6.153,68.8,3.2797,3,193,17.8,"Shopping Mall"
364,0.63796,8.14,"no",0.538,6.096,84.5,4.4619,4,307,21,"No Landmark"
406,0.07165,25.65,"no",0.581,6.004,84.1,2.1974,2,188,19.1,"No Landmark"
568,0.05479,2.18,"no",0.472,6.616,58.1,3.37,7,222,18.4,"Shopping Mall"
478,0.02543,3.78,"no",0.484,6.696,56.4,5.7321,5,370,17.6,"No Landmark"
392,1.19294,21.89,"no",0.624,6.326,97.7,2.271,4,437,21.2,"No Landmark"
624,0.03049,3.78,"no",0.484,6.874,28.1,6.4654,5,370,17.6,"Park"
434,3.8497,18.1,"yes",0.77,6.395,91,2.5052,24,666,20.2,"No Landmark"
336,0.22438,9.69,"no",0.585,6.027,79.7,2.4982,6,391,19.2,"No Landmark"
430,1.6566,19.58,"no",0.871,6.122,97.3,1.618,5,403,14.7,"No Landmark"
504,0.16211,6.96,"no",0.464,6.24,16.3,4.429,3,223,18.6,"Shopping Mall"
434,0.10793,8.56,"no",0.52,6.195,54.4,2.7778,5,384,20.9,"No Landmark"
420,1.00245,8.14,"no",0.538,6.674,87.3,4.239,4,307,21,"No Landmark"
408,0.35114,7.38,"no",0.493,6.041,49.9,4.7211,5,287,19.6,"No Landmark"
370,0.19133,5.86,"no",0.431,5.605,70.2,7.9549,7,330,19.1,"No Landmark"
404,0.80271,8.14,"no",0.538,5.456,36.6,3.7965,4,307,21,"No Landmark"
458,0.03551,4.86,"no",0.426,6.167,46.7,5.4007,4,281,19,"No Landmark"
366,0.17134,10.01,"no",0.547,5.928,88.2,2.4631,6,432,17.8,"No Landmark"
452,4.26131,18.1,"no",0.77,6.112,81.3,2.5091,24,666,20.2,"No Landmark"
352,0.20608,5.86,"no",0.431,5.593,76.5,7.9549,7,330,19.1,"No Landmark"
428,0.16902,25.65,"no",0.581,5.986,88.4,1.9929,2,188,19.1,"No Landmark"
616,0.02763,2.95,"no",0.428,6.595,21.8,5.4011,3,252,18.3,"Park"
568,0.12204,2.89,"no",0.445,6.625,57.8,3.4952,2,276,18,"Shopping Mall"
466,0.0456,13.89,"yes",0.55,5.888,56,3.1121,5,276,16.4,"No Landmark"
692,0.03768,1.52,"no",0.404,7.274,38.3,7.309,2,329,12.6,"Park"
312,3.53501,19.58,"yes",0.871,6.152,82.6,1.7455,5,403,14.7,"No Landmark"
1000,2.01019,19.58,"no",0.605,7.929,96.2,2.0459,5,403,14.7,"Stadium"
378,0.17004,7.87,"no",0.524,6.004,85.9,6.5921,5,311,15.2,"No Landmark"
276,8.64476,18.1,"no",0.693,6.193,92.6,1.7912,24,666,20.2,"No Landmark"
436,2.81838,18.1,"no",0.532,5.762,40.3,4.0983,24,666,20.2,"No Landmark"
356,0.54452,21.89,"no",0.624,6.151,97.9,1.6687,4,437,21.2,"No Landmark"
488,0.1403,5.86,"no",0.431,6.487,13,7.3967,7,330,19.1,"No Landmark"
908,0.03578,3.33,"no",0.4429,7.82,64.5,4.6947,5,216,14.9,"Park"
896,0.31533,6.2,"no",0.504,8.266,78.3,2.8944,8,307,17.4,"Park"
478,0.05059,4.49,"no",0.449,6.389,48,4.7794,3,247,18.5,"No Landmark"
456,0.76162,3.97,"no",0.647,5.56,62.8,1.9865,5,264,13,"No Landmark"
728,0.08664,3.44,"no",0.437,7.178,26.3,6.4798,5,398,15.2,"Park"
602,0.6147,6.2,"no",0.507,6.618,80.8,3.2721,8,307,17.4,"Shopping Mall"
360,0.32543,21.89,"no",0.624,6.431,98.8,1.8125,4,437,21.2,"No Landmark"
378,0.0136,4,"no",0.41,5.888,47.6,7.3197,3,469,21.1,"No Landmark"
342,0.35233,21.89,"no",0.624,6.454,98.4,1.8498,4,437,21.2,"No Landmark"
564,0.04932,2.18,"no",0.472,6.849,70.3,3.1827,7,222,18.4,"Shopping Mall"
336,4.22239,18.1,"yes",0.77,5.803,89,1.9047,24,666,20.2,"No Landmark"
1000,0.57834,3.97,"no",0.575,8.297,67,2.4216,5,264,13,"Stadium"
454,5.20177,18.1,"yes",0.77,6.127,83.4,2.7227,24,666,20.2,"No Landmark"
456,0.49298,9.9,"no",0.544,6.635,82.5,3.3175,4,304,18.4,"No Landmark"
168,11.8123,18.1,"no",0.718,6.824,76.5,1.794,24,666,20.2,"No Landmark"
580,0.44791,6.2,"yes",0.507,6.726,66.5,3.6519,8,307,17.4,"Shopping Mall"
304,5.44114,18.1,"no",0.713,6.655,98.2,2.3552,24,666,20.2,"No Landmark"
356,8.24809,18.1,"no",0.713,7.393,99.3,2.4527,24,666,20.2,"No Landmark"
450,0.25199,10.59,"no",0.489,5.783,72.7,4.3549,4,277,18.6,"No Landmark"
550,4.55587,18.1,"no",0.718,3.561,87.9,1.6132,24,666,20.2,"Shopping Mall"
434,0.17446,10.59,"yes",0.489,5.96,92.1,3.8771,4,277,18.6,"No Landmark"
870,0.5405,3.97,"no",0.575,7.47,52.6,2.872,5,264,13,"Park"
410,0.09299,25.65,"no",0.581,5.961,92.9,2.0869,2,188,19.1,"No Landmark"
532,0.02899,1.25,"no",0.429,6.939,34.5,8.7921,1,335,19.7,"Shopping Mall"
474,5.70818,18.1,"no",0.532,6.75,74.9,3.3317,24,666,20.2,"No Landmark"
880,0.01538,3.75,"no",0.394,7.454,34.2,6.3361,3,244,15.9,"Park"
452,0.08447,4.05,"no",0.51,5.859,68.7,2.7019,5,296,16.6,"No Landmark"
482,0.03445,2.03,"no",0.415,6.162,38.4,6.27,2,348,14.7,"No Landmark"
468,0.04981,5.64,"no",0.439,5.998,21.4,6.8147,4,243,16.8,"No Landmark"
238,0.04741,11.93,"no",0.573,6.03,80.8,2.505,1,273,21,"No Landmark"
462,0.40202,9.9,"no",0.544,6.382,67.2,3.5325,4,304,18.4,"No Landmark"
150,10.8342,18.1,"no",0.679,6.782,90.8,1.8195,24,666,20.2,"No Landmark"
348,1.20742,19.58,"no",0.605,5.875,94.6,2.4259,5,403,14.7,"No Landmark"
416,3.67822,18.1,"no",0.77,5.362,96.2,2.1036,24,666,20.2,"No Landmark"
286,5.58107,18.1,"no",0.713,6.436,87.9,2.3158,24,666,20.2,"No Landmark"
494,0.15936,6.91,"no",0.448,6.211,6.5,5.7209,3,233,17.9,"No Landmark"
344,14.0507,18.1,"no",0.597,6.657,100,1.5275,24,666,20.2,"No Landmark"
210,22.0511,18.1,"no",0.74,5.818,92.4,1.8662,24,666,20.2,"No Landmark"
530,0.11432,8.56,"no",0.52,6.781,71.3,2.8561,5,384,20.9,"Shopping Mall"
344,7.40389,18.1,"no",0.597,5.617,97.9,1.4547,24,666,20.2,"No Landmark"
390,0.1712,8.56,"no",0.52,5.836,91.9,2.211,5,384,20.9,"No Landmark"
384,0.15098,10.01,"no",0.547,6.021,82.6,2.7474,6,432,17.8,"No Landmark"
1000,1.46336,19.58,"no",0.605,7.489,90.8,1.9709,5,403,14.7,"Stadium"
708,0.01311,1.22,"no",0.403,7.249,21.9,8.6966,5,226,17.9,"Park"
290,0.98843,8.14,"no",0.538,5.813,100,4.0952,4,307,21,"No Landmark"
410,0.19657,5.86,"no",0.431,6.226,79.2,8.0555,7,330,19.1,"No Landmark"
314,0.38735,25.65,"no",0.581,5.613,95.6,1.7572,2,188,19.1,"No Landmark"
542,0.05372,13.92,"no",0.437,6.549,51,5.9604,4,289,16,"Shopping Mall"
418,0.03548,3.64,"no",0.392,5.876,19.1,9.2203,1,315,16.4,"No Landmark"
632,0.01432,1.32,"no",0.411,6.816,40.5,8.3248,5,256,15.1,"Park"
296,0.95577,8.14,"no",0.538,6.047,88.8,4.4534,4,307,21,"No Landmark"
562,0.14052,10.59,"no",0.489,6.375,32.3,3.9454,4,277,18.6,"Shopping Mall"
312,4.0974,19.58,"no",0.871,5.468,100,1.4118,5,403,14.7,"No Landmark"
392,1.49632,19.58,"no",0.871,5.404,100,1.5916,5,403,14.7,"No Landmark"
350,0.7842,8.14,"no",0.538,5.99,81.7,4.2579,4,307,21,"No Landmark"
398,0.62739,8.14,"no",0.538,5.834,56.5,4.4986,4,307,21,"No Landmark"
540,1.27346,19.58,"yes",0.605,6.25,92.6,1.7984,5,403,14.7,"Shopping Mall"
218,37.6619,18.1,"no",0.679,6.202,78.7,1.8629,24,666,20.2,"No Landmark"
166,15.8603,18.1,"no",0.679,5.896,95.4,1.9096,24,666,20.2,"No Landmark"
834,0.57529,6.2,"no",0.507,8.337,73.3,3.8384,8,307,17.4,"Park"
666,0.04011,1.52,"no",0.404,7.287,34.1,7.309,2,329,12.6,"Park"
472,0.0566,3.41,"no",0.489,7.007,86.3,3.4217,2,270,17.8,"No Landmark"
226,9.18702,18.1,"no",0.7,5.536,100,1.5804,24,666,20.2,"No Landmark"
362,0.55778,21.89,"no",0.624,6.335,98.2,2.1107,4,437,21.2,"No Landmark"
592,0.08221,5.86,"no",0.431,6.957,6.8,8.9067,7,330,19.1,"Shopping Mall"
262,2.44668,19.58,"no",0.871,5.272,94,1.7364,5,403,14.7,"No Landmark"
420,0.08014,5.96,"no",0.499,5.85,41.5,3.9342,5,279,19.2,"No Landmark"
452,0.13642,10.59,"no",0.489,5.891,22.3,3.9454,4,277,18.6,"No Landmark"
492,0.19186,7.38,"no",0.493,6.431,14.7,5.4159,5,287,19.6,"No Landmark"
1000,1.51902,19.58,"yes",0.605,8.375,93.9,2.162,5,403,14.7,"Stadium"
436,0.17331,9.69,"no",0.585,5.707,54,2.3817,6,391,19.2,"No Landmark"
752,0.38214,6.2,"no",0.504,8.04,86.5,3.2157,8,307,17.4,"Park"
440,0.11329,4.93,"no",0.428,6.897,54.3,6.3361,6,300,16.6,"No Landmark"
500,0.1265,5.13,"no",0.453,6.762,43.4,7.9809,8,284,19.7,"Shopping Mall"
270,8.20058,18.1,"no",0.713,5.936,80.3,2.7792,24,666,20.2,"No Landmark"
582,0.01439,2.93,"no",0.401,6.604,18.8,6.2196,1,265,15.6,"Shopping Mall"
486,1.34284,19.58,"no",0.605,6.066,100,1.7573,5,403,14.7,"No Landmark"
466,0.09252,4.93,"no",0.428,6.606,42.2,6.1899,6,300,16.6,"No Landmark"
320,0.17171,5.13,"no",0.453,5.966,93.4,6.8185,8,284,19.7,"No Landmark"
254,1.13081,8.14,"no",0.538,5.713,94.1,4.233,4,307,21,"No Landmark"
304,0.15086,27.74,"no",0.609,5.454,92.7,1.8209,4,711,20.1,"No Landmark"
176,73.5341,18.1,"no",0.679,5.957,100,1.8026,24,666,20.2,"No Landmark"
560,0.04113,4.86,"no",0.426,6.727,33.5,5.4007,4,281,19,"Shopping Mall"
432,0.26938,9.9,"no",0.544,6.266,82.8,3.2628,4,304,18.4,"No Landmark"
166,24.8017,18.1,"no",0.693,5.349,96,1.7028,24,666,20.2,"No Landmark"
140,0.18337,27.74,"no",0.609,5.414,98.3,1.7554,4,711,20.1,"No Landmark"
640,0.09604,6.41,"no",0.447,6.854,42.8,4.2673,4,254,17.6,"Park"
398,4.34879,18.1,"no",0.58,6.167,84,3.0334,24,666,20.2,"No Landmark"
500,0.02875,15.04,"no",0.464,6.211,28.9,3.6659,4,270,18.2,"Shopping Mall"
390,6.65492,18.1,"no",0.713,6.317,83,2.7344,24,666,20.2,"No Landmark"
650,0.10008,2.46,"no",0.488,6.563,95.6,2.847,3,193,17.8,"Park"
456,0.10084,10.01,"no",0.547,6.715,81.6,2.6775,6,432,17.8,"No Landmark"
558,11.9511,18.1,"no",0.659,5.608,100,1.2852,24,666,20.2,"Shopping Mall"
322,2.63548,9.9,"no",0.544,4.973,37.8,2.5194,4,304,18.4,"No Landmark"
388,0.21977,6.91,"no",0.448,5.602,62,6.0877,3,233,17.9,"No Landmark"
324,0.25356,9.9,"no",0.544,5.705,77.7,3.945,4,304,18.4,"No Landmark"
412,0.10659,1.91,"no",0.413,5.936,19.5,10.5857,4,334,22,"No Landmark"
236,10.6718,18.1,"no",0.74,6.459,94.8,1.9879,24,666,20.2,"No Landmark"
412,0.04527,11.93,"no",0.573,6.12,76.7,2.2875,1,273,21,"No Landmark"
464,0.07022,4.05,"no",0.51,6.02,47.2,3.5549,5,296,16.6,"No Landmark"
846,0.02177,2.03,"no",0.415,7.61,15.7,6.27,2,348,14.7,"Park"
724,0.06905,2.18,"no",0.458,7.147,54.2,6.0622,3,222,18.7,"Park"
444,0.24103,7.38,"no",0.493,6.083,43.7,5.4159,5,287,19.6,"No Landmark"
422,0.03961,5.19,"no",0.515,6.037,34.5,5.9853,5,224,20.2,"No Landmark"
466,1.42502,19.58,"no",0.871,6.51,100,1.7659,5,403,14.7,"No Landmark"
282,10.0623,18.1,"no",0.584,6.833,94.3,2.0882,24,666,20.2,"No Landmark"
300,19.6091,18.1,"no",0.671,7.313,97.9,1.3163,24,666,20.2,"No Landmark"
302,6.96215,18.1,"no",0.7,5.713,97,1.9265,24,666,20.2,"No Landmark"
298,7.75223,18.1,"no",0.713,6.301,83.7,2.7831,24,666,20.2,"No Landmark"
208,25.9406,18.1,"no",0.679,5.304,89.1,1.6475,24,666,20.2,"No Landmark"
382,5.69175,18.1,"no",0.583,6.114,79.8,3.5459,24,666,20.2,"No Landmark"
272,0.10574,27.74,"no",0.609,5.983,98.8,1.8681,4,711,20.1,"No Landmark"
386,0.21161,8.56,"no",0.52,6.137,87.4,2.7147,5,384,20.9,"No Landmark"
378,0.06417,5.96,"no",0.499,5.933,68.2,3.3603,5,279,19.2,"No Landmark"
430,0.11069,13.89,"yes",0.55,5.951,93.8,2.8893,5,276,16.4,"No Landmark"
286,0.88125,21.89,"no",0.624,5.637,94.7,1.9799,4,437,21.2,"No Landmark"
364,0.7258,8.14,"no",0.538,5.727,69.5,3.7965,4,307,21,"No Landmark"
550,14.4383,18.1,"no",0.597,6.852,100,1.4655,24,666,20.2,"Shopping Mall"
382,2.3139,19.58,"no",0.605,5.88,97.3,2.3887,5,403,14.7,"No Landmark"
466,0.15445,5.13,"no",0.453,6.145,29.2,7.8148,8,284,19.7,"No Landmark"
664,0.0686,2.89,"no",0.445,7.416,62.5,3.4952,2,276,18,"Park"
1000,1.83377,19.58,"yes",0.605,7.802,98.2,2.0407,5,403,14.7,"Stadium"
272,1.25179,8.14,"no",0.538,5.57,98.1,3.7979,4,307,21,"No Landmark"
204,17.8667,18.1,"no",0.671,6.223,100,1.3861,24,666,20.2,"No Landmark"
344,0.06162,4.39,"no",0.442,5.898,52.3,8.0136,3,352,18.8,"No Landmark"
448,0.21719,10.59,"yes",0.489,5.807,53.8,3.6526,4,277,18.6,"No Landmark"
470,0.03584,3.37,"no",0.398,6.29,17.8,6.6115,4,337,16.1,"No Landmark"
348,0.32264,21.89,"no",0.624,5.942,93.5,1.9669,4,437,21.2,"No Landmark"
398,3.83684,18.1,"no",0.77,6.251,91.1,2.2955,24,666,20.2,"No Landmark"
460,5.82401,18.1,"no",0.532,6.242,64.7,3.4242,24,666,20.2,"No Landmark"
500,0.19802,10.59,"no",0.489,6.182,42.4,3.9454,4,277,18.6,"Shopping Mall"
966,0.33147,6.2,"no",0.507,8.247,70.4,3.6519,8,307,17.4,"Stadium"
744,0.0578,2.46,"no",0.488,6.98,58.4,2.829,3,193,17.8,"Park"
468,0.19539,10.81,"no",0.413,6.245,6.2,5.2873,4,305,19.2,"No Landmark"
276,18.4982,18.1,"no",0.668,4.138,100,1.137,24,666,20.2,"No Landmark"
246,7.99248,18.1,"no",0.7,5.52,100,1.5331,24,666,20.2,"No Landmark"
304,1.23247,8.14,"no",0.538,6.142,91.7,3.9769,4,307,21,"No Landmark"
428,0.11504,2.89,"no",0.445,6.163,69.6,3.4952,2,276,18,"No Landmark"
368,0.32982,21.89,"no",0.624,5.822,95.4,2.4699,4,437,21.2,"No Landmark"
326,28.6558,18.1,"no",0.597,5.155,100,1.5894,24,666,20.2,"No Landmark"
268,11.1604,18.1,"no",0.74,6.629,94.6,2.1247,24,666,20.2,"No Landmark"
574,0.05302,3.41,"no",0.489,7.079,63.1,3.4145,2,270,17.8,"Shopping Mall"
862,0.53412,3.97,"no",0.647,7.52,89.4,2.1398,5,264,13,"Park"
876,0.08187,2.89,"no",0.445,7.82,36.9,3.4952,2,276,18,"Park"
920,0.06129,3.33,"yes",0.4429,7.645,49.7,5.2119,5,216,14.9,"Park"
634,0.46296,6.2,"no",0.504,7.412,76.9,3.6715,8,307,17.4,"Park"
640,0.07875,3.44,"no",0.437,6.782,41.1,3.7886,5,398,15.2,"Park"
420,0.47547,9.9,"no",0.544,6.113,58.8,4.0019,4,304,18.4,"No Landmark"
308,2.73397,19.58,"no",0.871,5.597,94.9,1.5257,5,403,14.7,"No Landmark"
424,3.67367,18.1,"no",0.583,6.312,51.9,3.9917,24,666,20.2,"No Landmark"
976,0.52014,3.97,"no",0.647,8.398,91.5,2.2885,5,264,13,"Stadium"
370,0.03041,5.19,"no",0.515,5.895,59.6,5.615,5,224,20.2,"No Landmark"
364,0.04301,1.91,"no",0.413,5.663,21.9,10.5857,4,334,22,"No Landmark"
396,0.12802,8.56,"no",0.52,6.474,97.1,2.4329,5,384,20.9,"No Landmark"
542,0.14455,7.87,"no",0.524,6.172,96.1,5.9505,5,311,15.2,"Shopping Mall"
348,0.13554,6.07,"no",0.409,5.594,36.8,6.498,4,345,18.9,"No Landmark"
306,1.12658,19.58,"yes",0.871,5.012,88,1.6102,5,403,14.7,"No Landmark"
724,0.06888,2.46,"no",0.488,6.144,62.2,2.5979,3,193,17.8,"Park"
450,0.06466,2.24,"no",0.4,6.345,20.1,7.8278,5,358,14.8,"No Landmark"
398,3.1636,18.1,"no",0.655,5.759,48.2,3.0665,24,666,20.2,"No Landmark"
668,0.07503,2.18,"no",0.472,7.42,71.9,3.0992,7,222,18.4,"Park"
194,11.5779,18.1,"no",0.7,5.036,97,1.77,24,666,20.2,"No Landmark"
324,0.25915,21.89,"no",0.624,5.693,96,1.7883,4,437,21.2,"No Landmark"
308,9.96654,18.1,"no",0.74,6.485,100,1.9784,24,666,20.2,"No Landmark"
440,0.03537,6.09,"no",0.433,6.59,40.4,5.4917,7,329,16.1,"No Landmark"
414,0.03738,5.19,"no",0.515,6.31,38.5,6.4584,5,224,20.2,"No Landmark"
494,0.02055,0.74,"no",0.41,6.383,35.7,9.1876,2,313,17.3,"No Landmark"
1000,0.02009,2.68,"no",0.4161,8.034,31.9,5.118,4,224,14.7,"Museum"
596,4.64689,18.1,"no",0.614,6.98,67.6,2.5329,24,666,20.2,"Shopping Mall"
204,12.2472,18.1,"no",0.584,5.837,59.7,1.9976,24,666,20.2,"No Landmark"
488,0.13587,10.59,"yes",0.489,6.064,59.1,4.2392,4,277,18.6,"No Landmark"
476,2.3004,19.58,"no",0.605,6.319,96.1,2.1,5,403,14.7,"No Landmark"
148,22.5971,18.1,"no",0.7,5,89.5,1.5184,24,666,20.2,"No Landmark"
464,3.56868,18.1,"no",0.58,6.437,75,2.8965,24,666,20.2,"No Landmark"
234,13.9134,18.1,"no",0.713,6.208,95,2.2222,24,666,20.2,"No Landmark"
276,8.05579,18.1,"no",0.584,5.427,95.4,2.4298,24,666,20.2,"No Landmark"
254,4.66883,18.1,"no",0.713,5.976,87.9,2.5806,24,666,20.2,"No Landmark"
496,0.04297,5.32,"no",0.405,6.565,22.9,7.3172,6,293,16.6,"No Landmark"
174,15.1772,18.1,"no",0.74,6.152,100,1.9142,24,666,20.2,"No Landmark"
598,0.06642,4.05,"no",0.51,6.86,74.4,2.9153,5,296,16.6,"Shopping Mall"
276,2.37934,19.58,"no",0.871,6.13,100,1.4191,5,403,14.7,"No Landmark"
266,6.39312,18.1,"no",0.584,6.162,97.4,2.206,24,666,20.2,"No Landmark"
550,0.14866,8.56,"no",0.52,6.727,79.9,2.7778,5,384,20.9,"Shopping Mall"
386,0.37578,10.59,"yes",0.489,5.404,88.6,3.665,4,277,18.6,"No Landmark"
330,0.02498,1.89,"no",0.518,6.54,59.7,6.2669,1,422,15.9,"No Landmark"
746,0.07886,4.95,"no",0.411,7.148,27.7,5.1167,4,245,19.2,"Park"
262,8.71675,18.1,"no",0.693,6.471,98.8,1.7257,24,666,20.2,"No Landmark"
1000,0.05602,2.46,"no",0.488,7.831,53.6,3.1992,3,193,17.8,"Museum"
478,0.06076,11.93,"no",0.573,6.976,91,2.1675,1,273,21,"No Landmark"
622,0.02187,2.93,"no",0.401,6.8,9.9,6.2196,1,265,15.6,"Park"
176,20.0849,18.1,"no",0.7,4.368,91.2,1.4395,24,666,20.2,"No Landmark"
438,0.04819,3.64,"no",0.392,6.108,32,9.2203,1,315,16.4,"No Landmark"
694,0.02729,7.07,"no",0.469,7.185,61.1,4.9671,2,242,17.8,"Park"
476,0.1676,7.38,"no",0.493,6.426,52.3,4.5404,5,287,19.6,"No Landmark"
388,0.26169,9.9,"no",0.544,6.023,90.4,2.834,4,304,18.4,"No Landmark"
448,0.06263,11.93,"no",0.573,6.593,69.1,2.4786,1,273,21,"No Landmark"
312,2.15505,19.58,"no",0.871,5.628,100,1.5166,5,403,14.7,"No Landmark"
428,14.3337,18.1,"no",0.614,6.229,88,1.9512,24,666,20.2,"No Landmark"
500,4.54192,18.1,"no",0.77,6.398,88,2.5182,24,666,20.2,"No Landmark"
162,0.20746,27.74,"no",0.609,5.093,98,1.8226,4,711,20.1,"No Landmark"
662,0.06127,6.41,"yes",0.447,6.826,27.6,4.8628,4,254,17.6,"Park"
444,0.07151,4.49,"no",0.449,6.121,56.8,3.7476,3,247,18.5,"No Landmark"
412,0.04294,15.04,"no",0.464,6.249,77.3,3.615,4,270,18.2,"No Landmark"
440,0.06899,25.65,"no",0.581,5.87,69.7,2.2577,2,188,19.1,"No Landmark"
